Name;B1;B11;B12;B2;B3;B4;B5;B6;B7;B8;B8A;B9;real;ppn;svm;tree;lr;forest;knn;ac;k_means
pin_579;0.018;0.1443;0.0624;0.0171;0.0488;0.0192;0.0943;0.2615;0.292;0.3266;0.3152;0.3038;4;4;4;4;4;4;4;4;4
pin_726;0.043;0.3231;0.298;0.0886;0.1254;0.166;0.2605;0.2805;0.2917;0.3028;0.2975;0.143;5;5;5;5;5;5;5;5;5
pin_350;0.0246;0.1534;0.0933;0.0243;0.0401;0.0362;0.0796;0.1474;0.1642;0.1666;0.1846;0.1799;3;3;3;3;3;3;3;3;3
pin_1286;0.0115;0.0041;0.0024;0.0056;0.0068;0.0077;0.0076;0.004;0.004;0.005;0.0034;0.0065;10;6;10;10;10;10;10;10;10
pin_391;0.0257;0.1328;0.0773;0.019;0.0393;0.0331;0.068;0.1379;0.156;0.1702;0.176;0.1795;3;3;3;3;3;3;3;3;3
pin_690;0.0526;0.3215;0.3183;0.1578;0.2068;0.2664;0.2733;0.2738;0.2614;0.3088;0.2675;0.1702;5;5;5;5;5;5;5;5;5
pin_514;0.0178;0.1509;0.0697;0.0157;0.0426;0.0165;0.0886;0.2596;0.3;0.2874;0.3147;0.313;4;4;4;4;4;4;4;4;4
pin_1070;0.0542;0.1804;0.13;0.0528;0.0767;0.0747;0.116;0.2008;0.229;0.257;0.2492;0.2603;9;9;9;9;9;9;9;9;9
pin_1143;0.038;0.1949;0.1369;0.0479;0.0763;0.072;0.1163;0.2536;0.2947;0.3274;0.3318;0.3112;9;9;9;9;9;9;9;4;4
pin_46;0.1395;0.2509;0.2393;0.143;0.1678;0.198;0.2038;0.2153;0.2205;0.2176;0.2184;0.2411;1;1;1;1;1;1;1;1;1
pin_1233;0.0117;0.0041;0.0025;0.0085;0.0062;0.0071;0.007;0.0044;0.006;0.0066;0.005;0.0051;10;2;10;10;10;10;10;10;10
pin_1189;0.012;0.0036;0.0027;0.0056;0.0074;0.0067;0.0066;0.0036;0.0044;0.0041;0.0041;0.0029;10;6;10;10;10;10;10;10;10
pin_1275;0.0106;0.0044;0.0034;0.0057;0.0071;0.0074;0.0075;0.0044;0.0059;0.005;0.0046;0.006;10;2;10;10;10;10;10;10;10
pin_109;0.1618;0.3167;0.3213;0.2136;0.2352;0.2552;0.3038;0.2998;0.3041;0.2834;0.2996;0.2682;1;1;1;1;1;1;1;1;1
pin_809;0.025;0.391;0.3175;0.0282;0.0407;0.0799;0.1018;0.1184;0.1449;0.183;0.1962;0.1889;6;6;6;6;6;6;6;6;6
pin_343;0.022;0.1363;0.08;0.025;0.0399;0.0376;0.0719;0.1382;0.1556;0.1636;0.1704;0.175;3;3;3;3;3;3;3;3;3
pin_331;0.0214;0.1354;0.0802;0.0209;0.0394;0.0341;0.0709;0.1325;0.1528;0.164;0.1685;0.1729;3;3;3;3;3;3;3;3;3
pin_1100;0.0489;0.2359;0.1217;0.0526;0.0687;0.0995;0.1507;0.2383;0.2603;0.2626;0.2912;0.3117;9;9;9;9;9;9;9;9;9
pin_1176;0.0112;0.0034;0.0024;0.0054;0.0054;0.0066;0.0066;0.004;0.0036;0.0053;0.0046;0.0033;10;6;10;10;10;10;10;10;10
pin_633;0.0689;0.2806;0.2567;0.1412;0.187;0.238;0.2075;0.2629;0.2671;0.3418;0.2892;0.2546;5;5;5;5;5;5;5;5;5
pin_1201;0.0113;0.003;0.0025;0.0049;0.0055;0.0076;0.0074;0.0036;0.0036;0.0049;0.0034;0.0034;10;6;10;10;10;10;10;10;10
pin_321;0.0227;0.1476;0.0835;0.0201;0.0348;0.0335;0.0724;0.1413;0.1522;0.16;0.1785;0.1804;3;3;3;3;3;3;3;3;3
pin_1271;0.0118;0.0045;0.0027;0.0065;0.008;0.0077;0.0078;0.0042;0.0046;0.0048;0.006;0.0018;10;6;10;10;10;10;10;10;10
pin_19;0.0956;0.2372;0.2011;0.1214;0.151;0.1716;0.1642;0.2061;0.2144;0.2054;0.2206;0.23;1;1;1;1;1;1;1;1;5
pin_978;0.0446;0.1137;0.0953;0.0368;0.0369;0.0434;0.0603;0.0767;0.0913;0.0718;0.095;0.2114;7;7;7;7;7;7;7;3;7
pin_143;0.1391;0.2688;0.2451;0.1444;0.1716;0.1974;0.2106;0.2254;0.2302;0.2304;0.2385;0.2479;1;1;1;1;1;1;1;1;1
pin_483;0.0202;0.1677;0.0786;0.0189;0.0554;0.0208;0.1001;0.297;0.3387;0.366;0.3663;0.3377;4;4;4;4;4;4;4;4;4
pin_987;0.0564;0.1396;0.1137;0.0485;0.053;0.0601;0.0818;0.1126;0.1147;0.0913;0.1206;0.181;7;7;7;7;7;7;7;3;7
